GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
677175889,112,-2.0,2,-2.29132569558101,3,GT
677175884,046,7.0,1,-1.8450184501845,1,TZ
677175885,186,-10.0,4,-1.8450184501845,4,TZ
677177214,090,-2.0,10,-0.59642147117296,2,RI
677177211,071,7.4,10,1.77179305457123,2,GR
677182508,051,3.4,2,-4.41458733205374,1,LO
677182509,051,3.4,3,-4.41458733205374,1,LO
677182513,051,3.4,3,-4.41458733205374,1,LO
677184925,111,-2.0,6,0.42016806722689,3,GH
677184926,111,-2.0,6,0.42016806722689,3,GH
677184923,036,4.0,4,3.07692519843568,1,CH
677184921,036,4.0,16,3.07692519843569,1,KE
677184922,036,4.0,16,3.07692519843569,1,KE
677185907,190,-10.0,10,-0.92024539877301,4,CO
677186932,100,-5.0,10,-1.72413793103448,3,ZI
677190424,010,0.0,2,0.76190476190477,1,ML
677190425,010,0.0,8,0.76190476190477,1,TH
677191362,111,-2.0,5,2.18068535825545,3,MY
677192546,010,0.0,10,-4.95689655172414,1,FI
677193547,051,3.4,1,3.08370044052864,1,SZ
677193540,043,2.8,10,4.13385826771654,1,AE
677193542,042,1.9,10,4.13385826771654,1,AE
677195597,043,2.8,6,-0.83594566353187,1,
677195600,043,2.8,4,-0.83594566353187,1,PO
677195602,042,1.9,4,-0.83594566353187,1,PO
677196659,036,4.0,10,0.985221674876846,1,
677197929,080,5.0,2,-9.97304582210243,2,OD
677197932,080,5.0,2,-9.97304582210243,2,OD
677203323,120,-4.0,10,0.36231884057971,3,NO
677210413,071,7.4,1,-0.75093867334168,2,US
677210414,071,7.4,4,-0.75093867334168,2,JE
677213235,163,-8.0,2,-2.92134831460674,4,IR
677220385,064,7.0,8,-1.20274914089347,2,
677224009,193,-10.0,5,-10.4859335038363,4,WE
677225689,190,-10.0,3,-2.41545893719807,4,
677225690,190,-10.0,1,-2.41545893719807,4,
677228518,061,6.4,10,1.0752688172043,2,NZ
677228515,193,-10.0,2,-13.2352941176471,4,TW
677228516,193,-10.0,6,-13.2352941176471,4,TW
677228522,193,-10.0,2,-13.2352941176471,4,TW
677231976,042,1.9,10,2.41545893719807,1,BA
677231973,090,-2.0,8,-6.36108512628625,2,CA
677233152,173,-5.0,8,-2.32558139534883,4,IT
677234205,111,-2.0,10,-0.63357972544879,3,MO
677234204,051,3.4,3,1.46198830409356,1,BG
677234203,030,4.0,3,1.46198830409356,1,BG
677236763,043,2.8,4,3.17460317460318,1,
677236762,036,4.0,2,3.17460317460318,1,
677239455,036,4.0,10,1.86335403726708,1,FJ
677242945,042,1.9,4,-2.29885057471264,1,CH
677242946,042,1.9,4,-2.29885057471264,1,CH
677242948,043,2.8,4,-2.29885057471264,1,GA
677242949,043,2.8,4,-2.29885057471264,1,GA
677242954,010,0.0,10,0.0,1,GG
677245126,010,0.0,3,-2.42587601078167,1,BG
677246200,051,3.4,10,2.13414634146341,1,CU
677253735,071,7.4,10,-0.67829457364342,2,EI
677254917,060,6.0,7,-3.87858347386172,2,LE
677256123,042,1.9,2,0.20746887966805,1,
677259130,013,0.4,4,0.0,1,IZ
677259131,110,-2.0,2,2.14669051878354,3,LH
677260180,141,-6.5,4,1.88679245283019,3,
677260179,042,1.9,4,1.88679245283019,1,
677260183,042,1.9,2,1.88679245283019,1,
677260184,141,-6.5,2,1.88679245283019,3,
677260189,042,1.9,1,1.88679245283019,1,KE
677260190,042,1.9,1,1.88679245283019,1,KE
677260196,043,2.8,1,1.88679245283019,1,KE
677260197,043,2.8,1,1.88679245283019,1,KE
677261571,043,2.8,4,-0.20491803278689,1,
677263510,043,2.8,5,-8.92857142857141,1,US
677264548,042,1.9,10,0.0,1,
677267919,111,-2.0,2,-1.40845070422535,3,PK
677267913,020,3.0,2,-0.67750677506775,1,IN
677267912,020,3.0,8,-0.67750677506775,1,BG
677272562,020,3.0,10,-0.87719298245614,1,
677272579,111,-2.0,5,1.77514792899408,3,MY
677276183,064,7.0,8,-0.84745762711865,2,
677280120,120,-4.0,10,-3.3563672260612,3,
677280121,071,7.4,6,0.406504065040649,2,SN
677280122,071,7.4,4,0.406504065040649,2,SN
677291716,190,-10.0,2,-6.0849598163031,4,
677291728,193,-10.0,4,-6.0849598163031,4,EI
677291727,193,-10.0,4,-6.0849598163031,4,EI
677291720,057,8.0,8,-0.514933058702369,1,SZ
677293626,010,0.0,8,2.17076700434153,1,ML
677294513,133,-5.8,10,1.46520146520146,3,CB
677297586,060,6.0,7,-3.73376623376623,2,LE
677297587,020,3.0,10,-2.77078085642318,1,TW
677297588,090,-2.0,10,-2.77078085642318,2,TW
677299217,010,0.0,2,1.79717586649551,1,ML
677299218,010,0.0,6,1.79717586649551,1,ML
677302120,125,-5.0,10,0.21881838074399,3,UK
677307484,036,4.0,2,3.14465408805031,1,CH
677307480,036,4.0,8,3.14465408805031,1,KE
677307483,036,4.0,8,3.14465408805031,1,KE
677311393,036,4.0,10,1.46904512067156,1,
677311394,173,-5.0,8,-8.80503144654091,4,
677311397,036,4.0,2,2.8616852146264,1,CH
677312828,030,4.0,10,0.51107325383305,1,NL
677318356,046,7.0,2,2.56410256410256,1,CE
677318357,046,7.0,8,2.56410256410256,1,CE
677318354,046,7.0,2,2.56410256410256,1,BG
677318355,046,7.0,8,2.56410256410256,1,BG
677318333,042,1.9,3,1.92539109506619,1,
677318342,111,-2.0,5,2.24358974358974,3,MY
677319548,042,1.9,2,0.5736137667304,1,DR
677319544,163,-8.0,4,-3.01624129930395,4,IR
677319547,163,-8.0,4,-3.01624129930395,4,IR
677329992,036,4.0,4,2.02312138728324,1,CH
677329987,050,3.5,3,-3.04789550072569,1,
677329989,050,3.5,2,-3.04789550072569,1,BC
677329990,051,3.4,1,-3.04789550072569,1,BC
677332815,043,2.8,2,2.53623188405797,1,SZ
677335364,043,2.8,10,0.24330900243309,1,AE
677335370,042,1.9,10,0.24330900243309,1,AE
677335377,173,-5.0,2,-12.2641509433962,4,FJ
677335371,080,5.0,2,-8.0,2,OD
677335374,080,5.0,2,-8.0,2,OD
677339543,043,2.8,10,-3.26876513317192,1,BF
677339550,090,-2.0,2,-3.26876513317192,2,BF
677339551,090,-2.0,5,-3.26876513317192,2,BF
677339553,020,3.0,5,-1.70212765957447,1,HK
677339548,042,1.9,8,-3.26876513317192,1,MT
677341247,011,-0.1,8,-0.133689839572195,1,LG
677341227,194,-10.0,10,-4.56431535269709,4,BG
677341228,190,-10.0,4,-4.56431535269709,4,BG
677341241,190,-10.0,6,-4.56431535269709,4,BG
677341254,190,-10.0,6,-4.56431535269709,4,BG
677341257,182,-9.5,10,-4.56431535269709,4,BG
677341246,011,-0.1,2,-0.133689839572195,1,LG
677341248,120,-4.0,10,-0.133689839572195,3,LG
